theme;SimilarElement;element;Datentyp;Kardinalitaet;Beschreibung;Equid;Cattle;Pig;Sheep ;Goat;Poultry;beschreibung_thema;Pascal_Bemerkung;proposedDatatype
groupNotificationData;LeavingNotificationDate;leavingNotificationDate;xs:dateTime;1 N;Meldedatum des Abgangs;;;;;;;;aus: Workshop1_31.10.24 > IST_Zustand_Abgleich > Gruppenmeldung;xs:dateTime
groupNotificationData;TVDNumberOrigin;TVDNumberOrigin;eCH-0261:identifierType;;TVD Nummer der Herkunftstierhaltung;;;;;;;;aus: Workshop1_31.10.24 > IST_Zustand_Abgleich > Gruppenmeldung;eCH-0261:identifierType
groupNotificationData;eventDate;eventDate;xs:dateTime;;Ereignisdatum;;;;;;;;aus: Workshop1_31.10.24 > IST_Zustand_Abgleich > Gruppenmeldung;xs:dateTime
groupNotificationData;countryOrigin;countryOrigin;eCH-0261:enumeratedItemType;;Herkunftsland, z.B. DE (nur bei Import, sonst nil);;;;;;;;aus: Workshop1_31.10.24 > IST_Zustand_Abgleich > Gruppenmeldung;eCH-0261:enumeratedItemType
groupNotificationData;ArrivalNotificationType;arrivalNotificationType;eCH-0261:identifierType;;Meldungstyp der Zugangsmeldung Moegliche Werte: siehe GetCodes;;;;;;;;aus: Workshop1_31.10.24 > IST_Zustand_Abgleich > Gruppenmeldung;eCH-0261:identifierType
groupNotificationData;ArrivalNotificationDate;arrivalNotificationDate;xs:string;;Meldedatum des Zugangs;;;;;;;;aus: Workshop1_31.10.24 > IST_Zustand_Abgleich > Gruppenmeldung;xs:string
groupNotificationData;TVDNumberStay;TVDNumberStay;eCH-0261:identifierType;;TVD Nummer der Aufenthaltstierhaltung;;;;;;;;aus: Workshop1_31.10.24 > IST_Zustand_Abgleich > Gruppenmeldung;eCH-0261:identifierType
identificationData;EarTagNumber;earTagNumber;String;;Ohrmarkennummer;;x;;x;x;;;identifyerType;eCH-0261:identifierType
identificationData;ImplementationDateTime;implementationDateTime;DateTime;1;Implantierungsdatum;x;;;;;;;;xs:dateTime
identificationData;ImplementationsLocation;implementationsLocation;String;1 N;Ort (PLZ Ort) an dem ein Equide gechippt worden ist.;x;;;;;;;PLZ? im standard sonst verwendet:;eCH-0007:municipalityIdType
